id,name,part,rank,a,d,p,k,skillId,effect,dur,speed,morale,luck,life,w,m,o,s,c,g,gold,img,desc
33,Skull Helm,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt015.png,
34,Spellbinder's Hat,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt119.png,
35,Thunder Helmet,4,4,0,0,-2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt019.png,
36,Boots of Levitation,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt085.png,
37,Boots of Polarity,5,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,HrArt054.png,
38,Boots of Speed,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt093.png,
39,Dead Man's Boots,5,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,HrArt051.png,
40,Dragonbone Greaves,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt036.png,
41,Sandals of the Saint,5,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt027.png,
42,Amulet of the Undertaker,6,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,HrArt049.png,
43,Celestial Necklace of Bliss,6,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt028.png,
44,Collar of Conjuring,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HrArt071.png,
45,Garniture of Interference,6,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,HrArt052.png,
46,Necklace of Dragonteeth,6,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt038.png,
47,Necklace of Ocean Guidance,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt066.png,
48,Necklace of Swiftness,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,HrArt092.png,
49,Pendant of Courage,6,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,HrArt103.png,
50,Pendant of Death,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt099.png,
51,Pendant of Dispassion,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt095.png,
52,Pendant of Free Will,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt100.png,
53,Pendant of Holiness,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt097.png,
54,Pendant of Life,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt098.png,
55,Pendant of Negativity,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt101.png,
56,Pendant of Second Sight,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt096.png,
57,Pendant of Total Recall,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt102.png,
58,Statesman's Medal,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt061.png,
59,Ambassador's Sash,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt063.png,
60,Angel Wings,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt067.png,
61,Cape of Conjuring,7,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,HrArt073.png,
62,Cape of Velocity,7,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,HrArt094.png,
63,Dragon Wing Tabard,7,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt037.png,
64,Everflowing Crystal Cloak,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,HrArt104.png,
65,Recanter's Cloak,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt078.png,
66,Vampire's Cowl,7,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,HrArt050.png,
67,Surcoar of Counterpoise,7,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,HrArt053.png,
68,Diplomat's Ring,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt062.png,
69,Eversmoking Ring of Sulfur,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HrArt108.png,
70,Quiet Eye of the Dragon,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt032.png,
71,Ring of Conjuring,8,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,HrArt072.png,
72,Ring of Infinite Gems,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,HrArt105.png,
73,Ring of Life,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,HrArt089.png,
74,Ring of the Wayfarer,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,HrArt064.png,
75,Ring of Vitality,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,HrArt090.png,
76,Still Eye of the Dragon,8,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,HrArt040.png,
77,Equestrian's Gloves,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt065.png,
78,Endless Purse of Gold,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,HrArt110.png,
79,Endless Bag of Gold,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,HrArt111.png,
80,Endless Sack of Gold,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,HrArt112.png,
81,Inexhaustible Cart of Lumber,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,HrArt109.png,
82,Inexhaustible Cart of Ore,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,HrArt107.png,
83,Everpouring Vial of Mercury,9,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,HrArt106.png,
84,Legs of Legion,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt113.png,
85,Loins of Legion,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt114.png,
86,Torso of Legion,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt115.png,
87,Arms of Legion,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt116.png,
88,Head of Legion,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt117.png,
89,Grail,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
90,Spell Scroll,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
91,Tome of Air Magic,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt082.png,
92,Tome of Earth Magic,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt084.png,
93,Tome of Fire Magic,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt081.png,
94,Tome of Water Magic,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt083.png,
95,Orb of Driving Rain,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt077.png,
96,Orb of Silt,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt075.png,
97,Orb of Tempestuous Fire,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt076.png,
98,Orb of Firmament,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt074.png,
99,Orb of Permanence,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt087.png,
100,Orb of Vulnerability,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt088.png,
101,Orb of Inhibition,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt121.png,
102,Shackles of War,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt120.png,
103,Pandora's Box,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
104,Bow of Elven Cherrywood,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt055.png,
105,Bowstring of the Unicorn's Mane,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt056.png,
106,Angel Feather Arrows,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt057.png,
107,Golden Bow,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt086.png,
108,Charm of Mana,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt068.png,
109,Talisman of Mana,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt069.png,
110,Mystic Orb of Mana,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt070.png,
111,Bird of Perception,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt058.png,
112,Stoic Watchman,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt059.png,
113,Emblem of Cognizance,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt060.png,
114,Speculum,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt047.png,
115,Spyglass,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt048.png,
116,Vial of Lifeblood,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt091.png,
117,Vial of Dragon Blood,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt127.png,
118,Badge of Courage,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt044.png,
119,Crest of Valor,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt045.png,
120,Glyph of Gallantry,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt046.png,
121,Cards of Prophecy,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt042.png,
122,Cover of Fortune,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt041.png,
123,Ladybird of Luck,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt043.png,
124,Hourglass of the Evil Hour,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt080.png,
125,Spirit of Oppression,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt079.png,
